2014-07-29 11:03:19.245 DEBUG[main|ROOT] 连接池数量：  2
2014-07-29 11:03:22.150 DEBUG[main|ROOT] insert SQL insert into XSYS_ZSR( XH , SSDW1 , SSDW2 , SSDW3 , ZSR , XWNL , XBHR , SSDX , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.157 DEBUG[main|ROOT] insert SQL insert into XSYS_BGR( XH , STXH , SSDW1 , SSDW2 , SSDW3 , BGR , DWFZZJZRR , XWNL , HYHLC , FLYZYY , HXJSKYQ , CXHXJS , FZJE , ZFLX , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.167 DEBUG[main|ROOT] insert SQL insert into XSYS_BHR( XH , SSDW1 , SSDW2 , SSDW3 , BHR , XWNL , SWQK , ZHR , WZSSJE , TCMSPCJE , DWJSSFJZYY , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.180 DEBUG[main|ROOT] insert SQL insert into XSYS_ZRXX( XH , ZR , YLF , CTZZ , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.191 DEBUG[main|ROOT] insert SQL insert into XSYS_ZJXX( XH , MC , LX , YWYJ , QZSJ , QZDD , QZQD , JZR , JZRQ , SZR , YLF , ZJSS , WTJD , JHRQ , JHZCR , JGZZ , ZZTC , RZJG , DTRZ , RZLY , BRZLY , FZSY , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.207 DEBUG[main|ROOT] insert SQL insert into XSYS_ZJLT( XH , BHZJ , LTMD , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.218 DEBUG[main|ROOT] insert SQL insert into XSYS_SSDBQK( XH , SY , DSR , FS , DBR , GX , JE , DBWMC , DBFW , DBQX , CDRQ , CDNR , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.222 DEBUG[main|ROOT] insert SQL insert into XSYS_SSDAGL( JSR , LJR , GDR , QZH , MLH , JZH , GCPH , ZJCS , FJCS , ZJYS , FJYS , BJQK , MJ , BGQX , GDRQ , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.227 DEBUG[main|ROOT] insert SQL insert into XSYS_SDJL( XH , WS , YSDRQ , SDFS , STFY , GGRQ , JYRQ , SDRQ , SDR , SSDR , QSR , DQR , QSSJ , JBQS , WSDYY , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.235 DEBUG[main|ROOT] insert SQL insert into XSYS_LXQJXX( BGR , XH , ZL , QJ , FZSS , FZDX , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.238 DEBUG[main|ROOT] insert SQL insert into XSYS_JDXX( XH , ZJXH , CXJD , CXJDLY , WTJDR , DSRWT , WTJDNR , JDJG , JDR , JDYJJJS , JDGCSM , JDJL , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.240 DEBUG[main|ROOT] insert SQL insert into XSYS_LTZDZJ( ZJL , ZJ , SXH , ZXSSSJ , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.243 DEBUG[main|ROOT] insert SQL insert into XSYS_XAQK( SQXARQ , XASY , XAYY , SQXABG , TYXARQ , SPR , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.249 DEBUG[main|ROOT] insert SQL insert into XSYS_FDMSSSDSR( XH , SSDW1 , SSDW2 , SSDW3 , FDMSDSR , BGRLX , XWNL , XBHR , SSDX , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.254 DEBUG[main|ROOT] insert SQL insert into XSYS_FDMSSSPCXX( BGR , BQQPCJE , PCPCJE , PCFS , PCJFWB , PCJFJE , PCJFRQ , HXSPCLJG , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:05:26.752 DEBUG[main|ROOT] 连接池数量：  2
2014-07-29 11:05:28.338 DEBUG[main|ROOT] insert SQL insert into XSYS_SKSQK( SSFW , SSLX , SSR , KSJG , TQSSRQ , TQSSCL , CHSSRQ , YSAJRQ , SJJSRQ , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:06:08.420 DEBUG[main|ROOT] 连接池数量：  2
2014-07-29 11:06:10.020 DEBUG[main|ROOT] insert SQL insert into XSYS_SKSQK( SSFW , SSLX , SSR , KSJG , TQSSRQ , TQSSCL , CHSSRQ , YSAJRQ , SJJSRQ , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:06:10.091 DEBUG[main|ROOT] insert SQL insert into XSYS_YASTML( XH , LY , BS , JS , LX , MC , XB , CSRQ , NL , GJ , MZ , SF , SFZHM , XYJRSF , JGZWXZ , JGGBJB , QTZJZL , QTZJHM , ZY , WHCD , HYZK , ZZMM , XZJB , SZDW , ZW , TSSF , TSSLHBL , HJSZD , JL , LDRY , WCNRJTBJ , JTJJZK , GJDQ , ZZJGDM , DWXZ , TSHY , FDDBR , DBRZJZL , DBRZJHM , DZ , YZBM , LXDH , DZYX , QTLXFF , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:06:10.206 DEBUG[main|ROOT] updateSQL 93:91 ? update XSYS_YASTML set  XH=?, LY=?, BS=?, JS=?, LX=?, MC=?, XB=?, CSRQ=?, NL=?, GJ=?, MZ=?, SF=?, SFZHM=?, XYJRSF=?, JGZWXZ=?, JGGBJB=?, QTZJZL=?, QTZJHM=?, ZY=?, WHCD=?, HYZK=?, ZZMM=?, XZJB=?, SZDW=?, ZW=?, TSSF=?, TSSLHBL=?, HJSZD=?, JL=?, LDRY=?, WCNRJTBJ=?, JTJJZK=?, GJDQ=?, ZZJGDM=?, DWXZ=?, TSHY=?, FDDBR=?, DBRZJZL=?, DBRZJHM=?, DZ=?, YZBM=?, LXDH=?, DZYX=?, QTLXFF=?, AJBS=?, APP_CODE=?, DEPT_CODE=?, UPDATE_TIME =?  where  XH=? and LY=? and BS=? and LX=? and MC=? and XB=? and CSRQ=? and NL=? and GJ=? and MZ=? and SF=? and SFZHM=? and XYJRSF=? and JGZWXZ=? and JGGBJB=? and QTZJZL=? and QTZJHM=? and ZY=? and WHCD=? and HYZK=? and ZZMM=? and XZJB=? and SZDW=? and ZW=? and TSSF=? and TSSLHBL=? and HJSZD=? and LDRY=? and WCNRJTBJ=? and JTJJZK=? and GJDQ=? and ZZJGDM=? and DWXZ=? and TSHY=? and FDDBR=? and DBRZJZL=? and DBRZJHM=? and DZ=? and YZBM=? and LXDH=? and DZYX=? and QTLXFF=? and AJBS  =?
